"Age","Genotype","Pathology"
"2","WT","1"
"2","WT","1"
"2","WT","1"
"2","WT","1"
"2","WT","1"
"2","WT","1"
"4","WT","1"
"4","WT","1"
"4","WT","1"
"4","WT","1"
"4","WT","1"
"4","WT","1"
"9","WT","1"
"9","WT","1"
"9","WT","1"
"9","WT","1"
"9","WT","1"
"9","WT","1"
"14","WT","1"
"14","WT","1"
"14","WT","1"
"14","WT","1"
"14","WT","1"
"18","WT","1"
"18","WT","1"
"18","WT","1"
"18","WT","1"
"18","WT","1"
"4","NLF","1"
"4","NLF","1"
"4","NLF","1"
"4","NLF","1"
"4","NLF","1"
"4","NLF","1"
"9","NLF","2.25"
"9","NLF","2.5"
"9","NLF","1.5"
"9","NLF","1"
"9","NLF","1.5"
"9","NLF","2.25"
"14","NLF","3.25"
"14","NLF","3.5"
"14","NLF","3.5"
"18","NLF","4"
"18","NLF","3.17"
"18","NLF","3.5"
"2","NLGF","2.83"
"2","NLGF","2.33"
"2","NLGF","2.83"
"2","NLGF","2.17"
"2","NLGF","4"
"4","NLGF","4.5"
"4","NLGF","4.75"
"4","NLGF","4.5"
"4","NLGF","4.5"
"4","NLGF","5"
"4","NLGF","4.75"
"9","NLGF","5.75"
"9","NLGF","5"
"9","NLGF","5.25"
"9","NLGF","5"
"9","NLGF","5.5"
"9","NLGF","5"
"18","NLGF","4.83"
"18","NLGF","5.67"
"18","NLGF","5.5"
"18","NLGF","5.83"
"2","WT","1"
"2","WT","1"
"2","WT","1"
"2","WT","1"
"2","WT","1"
"2","WT","1"
"4","WT","1"
"4","WT","1"
"4","WT","1"
"4","WT","1"
"4","WT","1"
"4","WT","1"
"9","WT","1"
"9","WT","1"
"9","WT","1"
"9","WT","1"
"9","WT","1"
"9","WT","1"
"14","WT","1"
"14","WT","1"
"14","WT","1"
"14","WT","1"
"14","WT","1"
"14","WT","1"
"18","WT","1"
"18","WT","1"
"18","WT","1"
"18","WT","1"
"18","WT","1"
"18","WT","1"
"24","WT","1"
"24","WT","1"
"24","WT","1"
"4","NLF","1"
"4","NLF","1"
"4","NLF","1"
"4","NLF","1"
"4","NLF","1"
"9","NLF","1.5"
"9","NLF","1.5"
"9","NLF","2.25"
"9","NLF","1.67"
"9","NLF","1.5"
"9","NLF","1"
"14","NLF","3"
"14","NLF","3"
"14","NLF","3.25"
"14","NLF","2.5"
"14","NLF","1"
"18","NLF","3.75"
"18","NLF","3.17"
"18","NLF","3.67"
"18","NLF","3.83"
"18","NLF","3.67"
"24","NLF","4.33"
"24","NLF","4"
"24","NLF","3.67"
"2","NLGF","2"
"2","NLGF","3.17"
"2","NLGF","1.67"
"2","NLGF","2.83"
"2","NLGF","2.5"
"2","NLGF","2.17"
"4","NLGF","4"
"4","NLGF","4.5"
"4","NLGF","4.25"
"4","NLGF","4.5"
"4","NLGF","4.5"
"9","NLGF","5.5"
"9","NLGF","5.75"
"9","NLGF","5"
"9","NLGF","5"
"9","NLGF","4.75"
"9","NLGF","5"
"18","NLGF","5.5"
"18","NLGF","5.83"
"18","NLGF","5.33"
"18","NLGF","5.67"
"18","NLGF","5.67"
"18","NLGF","5.17"
