SampleID,REGION,Age,MODELDIS,0610006I08RIK Expression,Pathology
1105,Cerebellum,2,HET_TASTPM,11.8263,0
1106,Cerebellum,2,HET_TASTPM,11.8402,0
1107,Cerebellum,2,HET_TASTPM,11.691,0
1108,Cerebellum,2,HET_TASTPM,11.7112,0
832,Cerebellum,4,HET_TASTPM,11.6407,0
833,Cerebellum,4,HET_TASTPM,11.7231,0
834,Cerebellum,4,HET_TASTPM,11.9239,0
835,Cerebellum,4,HET_TASTPM,11.7815,0
460,Cerebellum,8,HET_TASTPM,11.7958,0
475,Cerebellum,8,HET_TASTPM,11.7574,0
476,Cerebellum,8,HET_TASTPM,11.6126,0
492,Cerebellum,18,HET_TASTPM,11.6522,0
493,Cerebellum,18,HET_TASTPM,11.5894,0
509,Cerebellum,18,HET_TASTPM,11.7048,0
510,Cerebellum,18,HET_TASTPM,11.4871,0
966,Cerebellum,2,HO_TASTPM,11.7977,0
967,Cerebellum,2,HO_TASTPM,11.9411,0
968,Cerebellum,2,HO_TASTPM,11.8629,0
969,Cerebellum,2,HO_TASTPM,11.6972,0
809,Cerebellum,4,HO_TASTPM,11.6964,0
810,Cerebellum,4,HO_TASTPM,11.9699,0
811,Cerebellum,4,HO_TASTPM,11.6138,0
812,Cerebellum,4,HO_TASTPM,11.8148,0
451,Cerebellum,8,HO_TASTPM,11.7354,0
452,Cerebellum,8,HO_TASTPM,12.0431,0
454,Cerebellum,8,HO_TASTPM,11.6528,0
97,Cerebellum,18,HO_TASTPM,11.4667,0
113,Cerebellum,18,HO_TASTPM,11.7313,0
154,Cerebellum,18,HO_TASTPM,11.7639,0
2424,Cerebellum,2,TAS10,11.7355,0
2425,Cerebellum,2,TAS10,11.685,0
2439,Cerebellum,2,TAS10,11.5321,0
2440,Cerebellum,2,TAS10,11.58,0
2391,Cerebellum,4,TAS10,11.5863,0
2431,Cerebellum,4,TAS10,11.6099,0
2415,Cerebellum,8,TAS10,12.2366,0
2442,Cerebellum,8,TAS10,11.5239,0
2443,Cerebellum,8,TAS10,11.376,0
2099,Cerebellum,18,TAS10,11.7135,0
2125,Cerebellum,18,TAS10,11.7384,0
2154,Cerebellum,18,TAS10,11.517,0
1809,Cerebellum,2,TAU,11.8567,0
1811,Cerebellum,2,TAU,11.8355,0
1825,Cerebellum,2,TAU,11.7764,0
1826,Cerebellum,2,TAU,11.9241,0
1816,Cerebellum,4,TAU,11.5785,0
1817,Cerebellum,4,TAU,11.5889,0
1818,Cerebellum,4,TAU,11.763,0
1819,Cerebellum,4,TAU,11.6553,0
1461,Cerebellum,8,TAU,11.6547,0
1463,Cerebellum,8,TAU,11.6258,0
1474,Cerebellum,8,TAU,11.5729,0
1494,Cerebellum,8,TAU,11.5511,0
1149,Cerebellum,18,TAU,11.3358,0
1150,Cerebellum,18,TAU,11.3672,0
1160,Cerebellum,18,TAU,11.493,0
2357,Cerebellum,2,TPM,11.7594,0
2359,Cerebellum,2,TPM,11.7466,0
2374,Cerebellum,2,TPM,11.6854,0
2375,Cerebellum,2,TPM,11.8191,0
2319,Cerebellum,4,TPM,11.5238,0
2331,Cerebellum,4,TPM,12.1302,0
2339,Cerebellum,4,TPM,11.4403,0
2350,Cerebellum,4,TPM,11.5833,0
2335,Cerebellum,8,TPM,11.7659,0
2336,Cerebellum,8,TPM,11.5061,0
2343,Cerebellum,8,TPM,11.5139,0
2344,Cerebellum,8,TPM,11.4757,0
2297,Cerebellum,18,TPM,11.6345,0
2306,Cerebellum,18,TPM,11.4443,0
2314,Cerebellum,18,TPM,11.5691,0
1804,Cerebellum,2,WILD,11.7163,NA
1808,Cerebellum,2,WILD,11.8783,NA
1810,Cerebellum,2,WILD,11.7833,NA
1824,Cerebellum,2,WILD,11.6887,NA
2358,Cerebellum,2,WILD,11.6061,NA
2360,Cerebellum,2,WILD,11.6409,NA
2376,Cerebellum,2,WILD,11.7611,NA
2398,Cerebellum,2,WILD,11.8696,NA
2399,Cerebellum,2,WILD,11.6539,NA
2423,Cerebellum,2,WILD,11.5987,NA
2438,Cerebellum,2,WILD,11.589,NA
1838,Cerebellum,4,WILD,11.6822,NA
1839,Cerebellum,4,WILD,11.7673,NA
2320,Cerebellum,4,WILD,11.593,NA
2330,Cerebellum,4,WILD,11.5154,NA
2338,Cerebellum,4,WILD,11.3851,NA
2351,Cerebellum,4,WILD,11.3045,NA
2392,Cerebellum,4,WILD,11.5355,NA
2393,Cerebellum,4,WILD,11.7599,NA
2393,Cerebellum,4,WILD,11.7599,NA
2393,Cerebellum,4,WILD,11.7754,NA
2393,Cerebellum,4,WILD,11.7754,NA
2434,Cerebellum,4,WILD,11.7216,NA
1462,Cerebellum,8,WILD,11.4183,NA
1472,Cerebellum,8,WILD,11.7056,NA
1473,Cerebellum,8,WILD,11.6281,NA
1475,Cerebellum,8,WILD,11.5486,NA
2337,Cerebellum,8,WILD,11.4954,NA
2341,Cerebellum,8,WILD,11.482,NA
2342,Cerebellum,8,WILD,11.5833,NA
2416,Cerebellum,8,WILD,11.6971,NA
2417,Cerebellum,8,WILD,11.9361,NA
2418,Cerebellum,8,WILD,11.7234,NA
1145,Cerebellum,18,WILD,11.5471,NA
1151,Cerebellum,18,WILD,11.5302,NA
1161,Cerebellum,18,WILD,11.5874,NA
2098,Cerebellum,18,WILD,11.43,NA
2152,Cerebellum,18,WILD,11.5326,NA
2153,Cerebellum,18,WILD,11.6194,NA
2155,Cerebellum,18,WILD,11.6387,NA
1105,Cortex,2,HET_TASTPM,11.3949,0
1106,Cortex,2,HET_TASTPM,11.3748,0
1107,Cortex,2,HET_TASTPM,11.2768,0
1108,Cortex,2,HET_TASTPM,11.2699,0
832,Cortex,4,HET_TASTPM,11.474,0
833,Cortex,4,HET_TASTPM,11.3747,0
834,Cortex,4,HET_TASTPM,11.3885,0.5
835,Cortex,4,HET_TASTPM,11.4301,0.5
460,Cortex,8,HET_TASTPM,11.3773,2
475,Cortex,8,HET_TASTPM,11.3027,0.5
476,Cortex,8,HET_TASTPM,11.2422,1
478,Cortex,8,HET_TASTPM,11.4874,1
492,Cortex,18,HET_TASTPM,11.1817,3
493,Cortex,18,HET_TASTPM,11.2987,2
509,Cortex,18,HET_TASTPM,11.3848,3
510,Cortex,18,HET_TASTPM,11.2785,3
966,Cortex,2,HO_TASTPM,11.3719,0
967,Cortex,2,HO_TASTPM,11.435,0
968,Cortex,2,HO_TASTPM,11.3578,0
969,Cortex,2,HO_TASTPM,11.3636,0
809,Cortex,4,HO_TASTPM,11.3893,1
810,Cortex,4,HO_TASTPM,11.4407,0.5
811,Cortex,4,HO_TASTPM,11.3776,2
812,Cortex,4,HO_TASTPM,11.3878,0
451,Cortex,8,HO_TASTPM,11.3063,3
