Age,MODELDIS,expr
2,HET-TASTPM,0
2,HET-TASTPM,0
2,HET-TASTPM,0
2,HET-TASTPM,0
4,HET-TASTPM,0.5
4,HET-TASTPM,0
4,HET-TASTPM,0.5
4,HET-TASTPM,0
8,HET-TASTPM,2
8,HET-TASTPM,1
8,HET-TASTPM,1
8,HET-TASTPM,0.5
18,HET-TASTPM,3
18,HET-TASTPM,3
18,HET-TASTPM,3
18,HET-TASTPM,2
2,HO-TASTPM,0
2,HO-TASTPM,0
2,HO-TASTPM,0
2,HO-TASTPM,0
4,HO-TASTPM,0
4,HO-TASTPM,0.5
4,HO-TASTPM,1
4,HO-TASTPM,2
8,HO-TASTPM,4
8,HO-TASTPM,3
8,HO-TASTPM,4
8,HO-TASTPM,3
18,HO-TASTPM,5
18,HO-TASTPM,5
18,HO-TASTPM,5
2,TAS10,0
2,TAS10,0
2,TAS10,0
2,TAS10,0
4,TAS10,0
4,TAS10,0
8,TAS10,0
8,TAS10,0
18,TAS10,2
18,TAS10,2
18,TAS10,2
18,TAS10,2
2,TAU,0
2,TAU,0
2,TAU,0
2,TAU,0
4,TAU,0
4,TAU,0
4,TAU,1
4,TAU,0
8,TAU,2
8,TAU,3
8,TAU,2
8,TAU,1
18,TAU,5
18,TAU,3
18,TAU,4
2,TPM,0
2,TPM,0
2,TPM,0
4,TPM,0
4,TPM,0
4,TPM,0
4,TPM,0
8,TPM,0
8,TPM,0
8,TPM,0
8,TPM,0
18,TPM,0
18,TPM,0
18,TPM,0
2,WT,0
