SampleID,REGION,Pathology
1105,HIP,0
1106,HIP,0
1107,HIP,0
1108,HIP,0
832,HIP,0
833,HIP,0
834,HIP,0.5
835,HIP,0.5
460,HIP,1
475,HIP,1
476,HIP,2
478,HIP,1
492,HIP,4
493,HIP,3
509,HIP,3
510,HIP,3
966,HIP,0
967,HIP,0
968,HIP,0
969,HIP,0
809,HIP,1
810,HIP,1
811,HIP,2
812,HIP,1
451,HIP,3
452,HIP,3
453,HIP,3
454,HIP,4
97,HIP,5
113,HIP,5
154,HIP,5
2424,HIP,0
2425,HIP,0
2439,HIP,0
2440,HIP,0
2391,HIP,0
2431,HIP,0
2415,HIP,0
2442,HIP,0
2443,HIP,0
2099,HIP,0
2125,HIP,2
2154,HIP,2
2187,HIP,2
1809,HIP,0
1811,HIP,0
1825,HIP,0
1826,HIP,0
1816,HIP,0
1817,HIP,0
1818,HIP,1
1819,HIP,0
1461,HIP,2
1463,HIP,3
1474,HIP,1
1494,HIP,1
1149,HIP,5
1150,HIP,4
1160,HIP,4
2357,HIP,0
2359,HIP,0
2374,HIP,0
2375,HIP,0
2319,HIP,0
2331,HIP,0
2339,HIP,0
2350,HIP,0
2335,HIP,0
2336,HIP,0
2343,HIP,0
2344,HIP,0
2297,HIP,0
2306,HIP,0
2314,HIP,0
1804,HIP,NA
1808,HIP,NA
1810,HIP,NA
1824,HIP,NA
2358,HIP,NA
2360,HIP,NA
2376,HIP,NA
2398,HIP,NA
2399,HIP,NA
2423,HIP,NA
2438,HIP,NA
1838,HIP,NA
1839,HIP,NA
2320,HIP,NA
2330,HIP,NA
2338,HIP,NA
2351,HIP,NA
2392,HIP,NA
2393,HIP,NA
2393,HIP,NA
2434,HIP,NA
1462,HIP,NA
1472,HIP,NA
1473,HIP,NA
1475,HIP,NA
2337,HIP,NA
2341,HIP,NA
2342,HIP,NA
2416,HIP,NA
2417,HIP,NA
2418,HIP,NA
1145,HIP,NA
1151,HIP,NA
1161,HIP,NA
2098,HIP,NA
2152,HIP,NA
2153,HIP,NA
2155,HIP,NA
1105,Cortex,0
1106,Cortex,0
1107,Cortex,0
1108,Cortex,0
832,Cortex,0
833,Cortex,0
834,Cortex,0.5
835,Cortex,0.5
460,Cortex,2
475,Cortex,0.5
